Occupation,Total - Employment income statistics,With employment income,Median employment income,Average employment income,"With wages, salaries and commissions","Median wages, salaries and commisions","Average wages, salaries and commisions"
40020 Administrators - post-secondary education and vocational training,"18,420","18,030","87,000","92,100","17,760","88,000","92,600"
40021 School principals and administrators of elementary and secondary education,"33,080","32,430","114,000","106,700","32,040","114,000","107,400"
"4003 Managers in social, community and correctional services","36,120","34,880","63,600","68,800","33,800","64,500","69,500"
"40030 Managers in social, community and correctional services","36,120","34,880","63,600","68,800","33,800","64,500","69,500"
4004 Managers in public protection services,"24,285","23,835","93,000","90,300","23,535","94,000","91,100"
40040 Commissioned police officers and related occupations in public protection services,"2,245","2,190","130,000","130,200","2,160","130,000","131,600"
40041 Fire chiefs and senior firefighting officers,"2,725","2,715","116,000","113,000","2,705","115,000","113,000"
40042 Commissioned officers of the Canadian Armed Forces,"19,320","18,935","87,000","82,400","18,670","88,000","83,200"
"41 Professional occupations in law, education, social, community and government services","1,337,875","1,277,575","68,000","72,100","1,217,260","68,500","70,400"
411 Professional occupations in law,"109,330","101,705","106,000","149,600","81,270","104,000","129,600"
"4110 Judges, lawyers and Quebec notaries","109,330","101,705","106,000","149,600","81,270","104,000","129,600"
41100 Judges,"3,355","3,290","274,000","256,800","3,220","274,000","244,800"
41101 Lawyers and Quebec notaries,"105,980","98,420","103,000","146,000","78,055","101,000","124,900"
412 Professional occupations in education services,"796,855","762,905","67,500","64,200","748,085","68,000","64,700"
4120 University professors and post-secondary assistants,"200,550","182,245","34,800","60,600","178,290","36,000","60,550"
41200 University professors and lecturers,"79,440","75,965","108,000","107,600","74,630","108,000","107,300"
41201 Post-secondary teaching and research assistants,"121,105","106,275","13,100","27,000","103,665","13,000","26,920"
4121 College and other vocational instructors,"108,620","103,730","66,000","63,550","98,095","68,500","65,500"
41210 College and other vocational instructors,"108,620","103,730","66,000","63,550","98,095","68,500","65,500"
"4122 Secondary, elementary and kindergarten school teachers","487,680","476,935","74,000","65,700","471,695","74,500","66,100"
41220 Secondary school teachers,"165,375","161,795","80,000","70,100","159,660","81,000","70,600"
41221 Elementary school and kindergarten teachers,"322,305","315,145","70,500","63,500","312,035","71,000","63,750"
413 Professional occupations in social and community services,"187,750","181,005","59,200","58,250","168,235","60,400","59,300"
4130 Social and community service professionals,"137,460","132,190","58,400","56,650","120,800","60,000","57,750"
41300 Social workers,"69,445","67,775","67,000","63,650","65,855","67,000","63,850"
41301 Therapists in counselling and related specialized therapies,"37,580","35,640","48,800","49,840","27,720","51,600","50,440"
41302 Religious leaders,"30,435","28,775","48,000","48,720","27,220","49,200","50,320"
4131 Police investigators and probation officers,"9,100","9,030","86,000","88,900","8,975","87,000","89,200"
41310 Police investigators and other investigative occupations,"3,670","3,655","119,000","111,100","3,615","119,000","111,800"
41311 Probation and parole officers,"5,425","5,380","79,500","73,800","5,365","79,500","73,900"
4132 Educational and employment counsellors,"41,190","39,785","56,000","56,550","38,455","56,400","57,150"
41320 Educational counsellors,"28,815","27,860","61,600","59,500","27,120","62,400","60,000"
41321 Career development practitioners and career counsellors (except education),"12,370","11,925","49,200","49,680","11,335","49,600","50,280"
414 Professional occupations in government services,"243,935","231,955","69,500","74,600","219,670","71,500","76,600"
"4140 Policy and program researchers, consultants and officers","243,935","231,955","69,500","74,600","219,670","71,500","76,600"
"41400 Natural and applied science policy researchers, consultants and program officers","37,725","36,265","78,000","81,500","34,560","79,000","82,700"
41401 Economists and economic policy researchers and analysts,"23,970","22,975","88,000","106,500","22,415","89,000","107,400"
41402 Business development officers and market researchers and analysts,"46,305","42,905","66,500","80,200","40,160","68,500","83,000"
"41403 Social policy researchers, consultants and program officers","45,075","43,210","67,500","66,900","41,175","69,000","68,600"
"41404 Health policy researchers, consultants and program officers","29,275","27,920","69,000","69,500","26,100","71,000","71,900"
"41405 Education policy researchers, consultants and program officers","28,530","27,105","63,600","62,200","25,040","66,500","64,300"
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","10,605","10,340","48,000","49,640","10,010","48,800","50,200"
41407 Program officers unique to government,"15,250","14,410","72,000","73,000","14,125","72,500","73,700"
41409 Other professional occupations in social science,"7,210","6,840","54,000","56,500","6,085","58,800","60,000"
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","633,015","606,920","39,600","47,760","571,270","41,200","49,320"
421 Occupations in front-line public protection services,"111,620","110,565","108,000","102,200","110,065","108,000","102,300"
4210 Occupations in front-line public protection services,"111,620","110,565","108,000","102,200","110,065","108,000","102,300"
42100 Police officers (except commissioned),"75,195","74,635","109,000","103,200","74,315","109,000","103,500"
42101 Firefighters,"34,800","34,315","109,000","101,400","34,145","109,000","101,400"
42102 Specialized members of the Canadian Armed Forces,"1,625","1,615","72,500","70,100","1,610","72,500","70,400"
"422 Paraprofessional occupations in legal, social, community and education services","521,395","496,355","32,800","35,640","461,205","34,400","36,680"
"4220 Paraprofessional occupations in legal, social, community and education services","521,395","496,355","32,800","35,640","461,205","34,400","36,680"
42200 Paralegals and related occupations,"33,680","32,260","52,800","54,550","30,245","54,000","56,150"
42201 Social and community service workers,"194,275","184,950","42,400","42,720","180,650","42,800","43,000"
42202 Early childhood educators and assistants,"248,350","235,935","24,400","26,760","208,855","25,400","27,600"
42203 Instructors of persons with disabilities,"35,415","34,515","43,200","42,520","33,795","43,600","42,800"
42204 Religion workers,"9,680","8,700","21,200","28,880","7,665","24,000","30,720"
43 Assisting occupations in education and in legal and public protection,"247,315","235,260","36,400","43,160","223,250","37,600","44,640"
431 Assisting occupations in educational,"157,785","146,960","25,600","26,200","135,840","27,000","27,160"
4310 Assisting occupations in education,"157,785","146,960","25,600","26,200","135,840","27,000","27,160"
43100 Elementary and secondary school teacher assistants,"113,410","109,850","29,800","29,440","108,755","29,800","29,360"
43109 Other instructors,"44,375","37,110","7,000","16,540","27,085","7,400","18,220"
432 Assisting occupations in legal and public protection,"89,530","88,295","73,500","71,400","87,410","74,000","71,800"
4320 Assisting occupations in legal and public protection,"89,530","88,295","73,500","71,400","87,410","74,000","71,800"
43200 Sheriffs and bailiffs,"5,620","5,470","67,500","64,100","5,065","69,000","66,900"
43201 Correctional service officers,"25,680","25,460","81,000","77,200","25,370","81,000","77,400"
43202 By-law enforcement and other regulatory officers,"10,975","10,755","65,000","62,700","10,625","65,500","62,850"
"43203 Border services, customs, and immigration officers","10,780","10,505","84,000","74,200","10,410","84,000","74,400"
43204 Operations members of the Canadian Armed Forces,"36,480","36,115","71,500","70,300","35,940","71,500","70,400"
44 Care providers and legal and public protection support occupations,"139,455","117,105","16,600","23,120","91,980","21,600","26,280"
441 Home care provider occupations,"129,300","107,415","15,000","21,220","82,360","19,600","24,180"
4410 Home care provider occupations,"129,300","107,415","15,000","21,220","82,360","19,600","24,180"
44100 Home child care providers,"69,820","53,900","9,700","15,760","32,765","12,800","18,900"
"44101 Home support workers, caregivers and related occupations","59,485","53,515","22,600","26,720","49,600","24,200","27,680"
442 Primary combat members of the Canadian Armed Forces,"10,150","9,695","44,800","44,200","9,625","45,200","44,280"
4420 Primary combat members of the Canadian Armed Forces,"10,150","9,695","44,800","44,200","9,625","45,200","44,280"
44200 Primary combat members of the Canadian Armed Forces,"10,150","9,695","44,800","44,200","9,625","45,200","44,280"
"45 Student monitors, crossing guards and related occupations","35,020","32,930","6,280","10,510","32,595","6,160","10,240"
"451 Student monitors, crossing guards and related occupations","35,020","32,930","6,280","10,510","32,595","6,160","10,240"
"4510 Student monitors, crossing guards and related occupations","35,020","32,930","6,280","10,510","32,595","6,160","10,240"
"45100 Student monitors, crossing guards and related occupations","35,020","32,930","6,280","10,510","32,595","6,160","10,240"
"5 Occupations in art, culture, recreation and sport","697,260","620,195","22,200","36,920","489,920","28,800","41,080"
"50 Specialized middle management occupations in art, culture, recreation and sport","27,955","26,225","54,000","66,200","24,405","56,800","68,900"
"500 Specialized middle management occupations in art, culture, recreation and sport","27,955","26,225","54,000","66,200","24,405","56,800","68,900"
"5001 Managers in art, culture, recreation and sport","27,955","26,225","54,000","66,200","24,405","56,800","68,900"
"50010 Library, archive, museum and art gallery managers","5,065","4,915","61,200","65,400","4,655","64,000","68,100"
"50011 Managers - publishing, motion pictures, broadcasting and performing arts","8,830","8,100","60,000","72,600","7,215","63,200","77,600"
"50012 Recreation, sports and fitness program and service directors","14,055","13,205","49,600","62,650","12,535","50,800","64,200"
51 Professional occupations in art and culture,"174,680","156,120","29,800","42,080","113,815","42,000","48,640"
511 Professional occupations in art and culture,"174,680","156,120","29,800","42,080","113,815","42,000","48,640"
"5110 Librarians, archivists, conservators and curators","13,220","12,825","62,400","61,100","12,440","63,600","61,950"
51100 Librarians,"9,355","9,165","66,500","64,200","9,040","67,000","64,600"
51101 Conservators and curators,"2,210","2,065","53,200","53,600","1,880","57,200","55,150"
51102 Archivists,"1,650","1,595","54,000","53,000","1,525","55,200","54,550"
"5111 Writing, translating and related communications professionals","83,835","74,700","35,600","43,080","54,965","45,200","48,560"
51110 Editors,"15,890","14,355","36,800","41,960","11,085","44,800","46,280"
51111 Authors and writers (except technical),"27,745","23,320","18,000","33,560","15,175","25,000","38,040"
51112 Technical writers,"8,990","8,465","66,000","65,600","7,845","67,000","66,500"
51113 Journalists,"11,360","10,670","49,200","53,800","9,245","53,200","57,050"
"51114 Translators, terminologists and interpreters","19,850","17,890","31,000","39,440","11,615","42,800","45,680"
5112 Creative and performing artists,"77,625","68,600","18,400","37,400","46,410","29,200","45,160"
"51120 Producers, directors, choreographers and related occupations","36,205","33,200","50,000","58,700","27,630","55,600","63,000"
"51121 Conductors, composers and arrangers","3,930","3,460","14,200","26,720","2,485","14,200","28,360"
51122 Musicians and singers,"37,500","31,945","7,650","16,420","16,295","6,360","17,460"
"52 Technical occupations in art, culture and sport","215,785","197,960","41,200","48,480","168,805","45,200","52,150"
521 Technical occupations in art and culture,"215,785","197,960","41,200","48,480","168,805","45,200","52,150"
5210 Technical occupations in libraries and public archives,"10,365","10,165","41,600","41,720","10,070","41,600","41,800"
52100 Library and public archive technicians,"10,365","10,165","41,600","41,720","10,070","41,600","41,800"
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","84,365","79,310","47,200","55,850","72,290","50,400","58,450"
52110 Film and video camera operators,"5,935","5,390","25,400","35,840","4,360","29,000","38,440"
52111 Graphic arts technicians,"13,420","12,555","50,800","60,550","11,485","52,800","63,250"
52112 Broadcast technicians,"1,960","1,900","69,500","66,800","1,835","70,000","68,000"
52113 Audio and video recording technicians,"28,340","26,305","37,600","42,080","23,000","40,800","44,400"
52114 Announcers and other broadcasters,"5,400","4,980","42,800","59,950","4,390","46,400","63,700"
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","29,315","28,180","61,200","69,000","27,220","62,400","70,000"
5212 Graphic and interior designers,"121,060","108,485","36,400","43,720","86,445","42,000","48,080"
52120 Graphic designers and illustrators,"88,935","80,165","39,200","45,600","65,170","43,600","49,480"
52121 Interior designers and interior decorators,"32,125","28,320","29,800","38,400","21,270","36,800","43,760"
"53 Occupations in art, culture and sport","154,660","128,370","11,600","25,960","85,885","15,800","31,400"
531 Occupations in art and culture,"128,400","108,230","10,900","22,800","70,915","15,000","27,440"
5310 Occupations related to museums and art galleries,"6,870","6,450","13,100","21,660","5,870","13,800","22,700"
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries","6,870","6,450","13,100","21,660","5,870","13,800","22,700"
5311 Photographers and support occupations in arts and culture,"34,285","30,290","16,800","26,840","21,620","21,800","31,240"
53110 Photographers,"20,545","17,370","10,100","21,000","9,340","12,100","25,960"
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators","13,740","12,920","29,200","34,680","12,280","30,200","35,200"
5312 Occupations in creative and performing art,"87,245","71,490","8,800","21,180","43,425","12,100","26,200"
53120 Dancers,"10,910","9,375","7,400","14,500","6,585","6,950","14,940"
"53121 Actors, comedians and circus performers","19,595","16,280","6,700","20,120","9,115","5,640","20,200"
"53122 Painters, sculptors and other visual artists","21,465","16,630","5,760","15,500","7,785","8,400","21,280"
"53123 Theatre, fashion, exhibit and other creative designers","14,940","13,075","27,800","38,400","10,160","36,400","45,080"
53124 Artisans and craftspersons,"19,615","15,475","8,500","17,320","9,210","14,400","22,880"
"53125 Patternmakers - textile, leather and fur products",730,650,"33,600","35,300",570,"38,000","37,800"
532 Occupations in sports,"26,260","20,140","16,600","43,040","14,975","20,400","50,080"
"5320 Athletes, coaches, referees and related occupations","26,260","20,140","16,600","43,040","14,975","20,400","50,080"
53200 Athletes,"4,375","3,265","17,600","98,200","2,540","21,000","118,400"
53201 Coaches,"16,695","14,875","19,800","34,400","10,895","24,200","38,320"
53202 Sports officials and referees,"5,190","2,000","3,360","17,420","1,540","3,320","20,840"
54 Support occupations in sport,"118,830","107,405","6,550","14,440","94,605","6,320","14,420"
541 Support occupations in sport,"118,830","107,405","6,550","14,440","94,605","6,320","14,420"
"5410 Program leaders and instructors in recreation, sport and fitness","118,830","107,405","6,550","14,440","94,605","6,320","14,420"
"54100 Program leaders and instructors in recreation, sport and fitness","118,830","107,405","6,550","14,440","94,605","6,320","14,420"
55 Support occupations in art and culture,"5,350","4,110","8,400","24,020","2,400","6,700","17,860"
551 Support occupations in art and culture,"5,350","4,110","8,400","24,020","2,400","6,700","17,860"
5510 Support occupations in art and culture,"5,350","4,110","8,400","24,020","2,400","6,700","17,860"
55109 Other performers,"5,350","4,110","8,400","24,020","2,400","6,700","17,860"
6 Sales and service occupations,"5,226,370","4,845,615","20,600","32,880","4,492,425","21,400","33,320"
60 Middle management occupations in retail and wholesale trade and customer services,"716,470","667,420","47,600","62,600","615,180","50,000","65,800"
600 Middle management occupations in retail and wholesale trade and customer services,"716,470","667,420","47,600","62,600","615,180","50,000","65,800"
6001 Corporate sales managers,"80,170","78,025","97,000","112,600","76,240","98,000","113,900"
60010 Corporate sales managers,"80,170","78,025","97,000","112,600","76,240","98,000","113,900"
6002 Retail and wholesale trade managers,"418,370","390,415","49,600","63,700","360,590","52,000","66,900"
60020 Retail and wholesale trade managers,"418,370","390,415","49,600","63,700","360,590","52,000","66,900"
6003 Managers in food service and accommodation,"188,585","172,725","33,200","40,960","157,140","35,200","43,000"
60030 Restaurant and food service managers,"158,235","145,680","32,800","39,600","133,530","34,000","41,120"
60031 Accommodation service managers,"30,350","27,040","38,400","48,320","23,615","43,200","53,500"
6004 Managers in customer and personal services,"29,345","26,255","30,000","39,880","21,205","34,000","43,320"
60040 Managers in customer and personal services,"29,345","26,255","30,000","39,880","21,205","34,000","43,320"
62 Retail sales and service supervisors and specialized occupations in sales and services,"362,880","347,880","34,800","46,400","338,005","35,200","46,920"
620 Retail sales and service supervisors,"188,165","182,830","32,400","37,960","180,460","32,400","38,000"
6201 Retail sales supervisors,"65,105","63,585","33,200","38,200","63,060","33,200","38,240"
62010 Retail sales supervisors,"65,105","63,585","33,200","38,200","63,060","33,200","38,240"
6202 Service supervisors,"123,065","119,245","32,000","37,840","117,400","32,400","37,880"
62020 Food service supervisors,"77,160","74,875","28,600","34,240","74,205","28,600","34,200"
62021 Executive housekeepers,"2,030","1,995","39,200","41,560","1,955","39,200","41,800"
"62022 Accommodation, travel, tourism and related services supervisors","6,425","6,255","25,400","31,000","6,150","25,200","30,880"
62023 Customer and information services supervisors,"11,025","10,765","53,600","57,150","10,640","54,000","57,250"
62024 Cleaning supervisors,"14,420","13,700","40,000","42,160","13,000","41,600","42,920"
62029 Other services supervisors,"12,005","11,660","39,600","40,960","11,450","39,600","40,920"
621 Specialized sales occupations,"91,295","87,390","60,000","77,400","84,040","61,200","79,100"
6210 Technical sales specialists in wholesale trade and retail and wholesale buyers,"91,295","87,390","60,000","77,400","84,040","61,200","79,100"
62100 Technical sales specialists - wholesale trade,"53,625","51,405","81,000","99,200","49,430","82,000","101,400"
62101 Retail and wholesale buyers,"37,665","35,980","36,800","46,280","34,610","37,600","47,320"
622 Specialized services occupations,"83,420","77,665","25,000","31,320","73,500","25,800","32,000"
6220 Specialized occupations in services,"83,420","77,665","25,000","31,320","73,500","25,800","32,000"
62200 Chefs,"73,355","68,515","24,000","29,560","65,790","24,600","29,920"
62201 Funeral directors and embalmers,"5,625","5,410","52,800","58,650","5,260","53,200","59,100"
"62202 Jewellers, jewellery and watch repairers and related occupations","4,435","3,740","16,400","23,780","2,455","24,000","29,760"
63 Occupations in sales and services,"733,790","676,505","21,800","36,520","528,715","23,600","36,200"
631 Occupations in sales,"268,495","249,165","48,400","64,100","172,120","50,800","65,500"
"6310 Insurance, real estate and financial sales occupations","268,495","249,165","48,400","64,100","172,120","50,800","65,500"
63100 Insurance agents and brokers,"83,900","80,425","52,400","65,600","70,310","54,000","68,100"
63101 Real estate agents and salespersons,"121,825","108,115","35,600","59,300","44,520","30,800","52,850"
63102 Financial sales representatives,"62,775","60,630","53,200","70,800","57,290","54,000","72,200"
632 Occupations in services,"465,295","427,335","14,900","20,440","356,595","16,800","22,060"
"6320 Cooks, butchers and bakers","276,465","255,470","16,800","21,460","247,845","17,000","21,640"
63200 Cooks,"212,290","196,215","15,400","20,200","191,400","15,600","20,300"
63201 Butchers - retail and wholesale,"11,775","11,165","32,800","32,880","10,755","33,200","33,000"
63202 Bakers,"52,400","48,085","20,200","23,940","45,685","21,000","24,500"
6321 Hairstylists and estheticians,"174,220","157,970","11,500","16,700","96,425","14,900","19,880"
63210 Hairstylists and barbers,"102,675","94,270","12,300","17,060","54,120","16,200","20,720"
"63211 Estheticians, electrologists and related occupations","71,545","63,710","10,500","16,180","42,305","13,000","18,820"
"6322 Shoe repairers, shoemakers and upholsterers","14,605","13,890","40,800","44,200","12,325","44,000","47,880"
63220 Shoe repairers and shoemakers,"10,570","10,295","46,000","49,120","9,650","47,200","51,400"
63221 Upholsterers,"4,045","3,595","27,200","30,080","2,675","32,400","35,240"
64 Sales and service representatives and other customer and personal services occupations,"1,427,280","1,341,020","22,000","31,560","1,289,295","22,800","31,960"
641 Retail salespersons and non-technical wholesale trade sales and account representatives,"791,130","738,590","18,400","31,160","705,800","18,800","31,480"
6410 Retail salespersons and non-technical wholesale trade sales and account representatives,"791,130","738,590","18,400","31,160","705,800","18,800","31,480"
64100 Retail salespersons and visual merchandisers,"722,870","674,900","16,800","27,680","647,950","17,000","27,920"
64101 Sales and account representatives - wholesale trade (non-technical),"68,260","63,685","56,000","67,800","57,850","58,800","71,400"
642 Occupations in personal service,"23,685","20,895","15,300","20,840","15,535","20,200","24,560"
6420 Occupations in personal service,"23,685","20,895","15,300","20,840","15,535","20,200","24,560"
"64200 Tailors, dressmakers, furriers and milliners","21,015","18,620","15,200","18,800","13,785","20,000","22,300"
"64201 Image, social and other personal consultants","2,665","2,275","16,200","37,560","1,750","22,800","42,320"
"643 Occupations in food, accommodation and tourism","137,750","130,170","13,400","21,580","124,200","13,800","22,080"
6430 Occupations in food and beverage service,"57,055","53,535","8,200","11,500","52,755","8,200","11,450"
64300 Maîtres d'hôtel and hosts/hostesses,"24,220","22,330","5,480","8,180","22,090","5,440","8,160"
64301 Bartenders,"32,835","31,205","10,700","13,880","30,665","10,700","13,820"
6431 Occupations in travel and accommodation,"66,645","63,445","25,600","30,920","59,175","27,600","32,400"
64310 Travel counsellors,"20,835","19,180","20,200","27,800","15,465","28,600","32,560"
64311 Pursers and flight attendants,"12,905","12,575","38,000","41,000","12,475","38,400","40,960"
64312 Airline ticket and service agents,"12,120","11,820","30,200","36,160","11,600","30,600","36,200"
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks","1,850","1,800","53,200","52,100","1,755","53,600","53,050"
64314 Hotel front desk clerks,"18,935","18,075","19,000","21,780","17,885","19,000","21,780"
6432 Tourism and amusement services occupations,"14,045","13,190","12,000","17,520","12,260","12,300","18,040"
64320 Tour and travel guides,"3,315","2,990","7,200","14,520","2,595","7,800","15,220"
64321 Casino workers,"7,785","7,565","12,800","18,180","7,455","12,800","18,260"
64322 Outdoor sport and recreational guides,"2,945","2,640","14,600","19,000","2,215","14,800","20,620"
"644 Occupations in customer, information and protective services","474,725","451,370","32,400","35,560","443,760","32,800","35,680"
6440 Customer and information services representatives,"341,850","326,105","33,200","36,080","320,495","33,200","36,200"
64400 Customer services representatives - financial institutions,"63,940","61,680","34,400","37,320","61,130","34,400","37,360"
64401 Postal services representatives,"8,045","7,785","30,600","34,320","7,715","30,600","34,320"
64409 Other customer and information services representatives,"269,865","256,640","32,800","35,840","251,655","32,800","36,000"
6441 Security guards and related security service occupations,"132,875","125,265","31,000","34,200","123,265","31,200","34,320"
64410 Security guards and related security service occupations,"132,875","125,265","31,000","34,200","123,265","31,200","34,320"
65 Sales and service support occupations,"1,985,955","1,812,785","12,500","19,000","1,721,245","12,700","19,200"
651 Sales support occupations,"738,950","678,625","12,200","18,460","666,145","12,200","18,480"
6510 Cashiers and other sales support occupations,"738,950","678,625","12,200","18,460","666,145","12,200","18,480"
65100 Cashiers,"428,750","394,540","10,700","16,820","390,340","10,600","16,780"
65101 Service station attendants,"10,820","9,740","12,100","17,320","9,635","12,100","17,240"
"65102 Store shelf stockers, clerks and order fillers","263,855","243,495","15,500","20,300","241,070","15,500","20,280"
65109 Other sales related occupations,"35,535","30,855","12,200","25,320","25,100","14,000","28,320"
"652 Support occupations in food, accommodation and tourism","711,335","650,955","10,100","15,480","632,500","10,100","15,480"
6520 Food support occupations,"631,305","579,850","10,200","15,180","571,555","10,200","15,140"
65200 Food and beverage servers,"149,015","140,450","9,700","13,240","138,625","9,700","13,160"
"65201 Food counter attendants, kitchen helpers and related support occupations","474,760","432,155","10,200","15,500","425,775","10,200","15,460"
65202 Meat cutters and fishmongers - retail and wholesale,"7,530","7,245","34,000","34,440","7,160","34,000","34,480"
"6521 Support occupations in accommodation, travel, tourism and amusement services","44,995","41,305","8,300","17,060","40,455","8,300","17,100"
"65210 Support occupations in accommodation, travel and facilities set-up services","3,715","3,425","16,400","28,200","3,285","17,000","28,840"
"65211 Operators and attendants in amusement, recreation and sport","41,285","37,885","7,950","16,040","37,170","7,900","16,060"
6522 Support occupations in personal services,"35,025","29,800","12,400","19,140","20,495","15,100","21,560"
65220 Pet groomers and animal care workers,"31,615","27,085","13,000","19,460","19,220","15,500","21,740"
65229 Other support occupations in personal services,"3,410","2,715","7,150","15,900","1,275","8,200","18,760"
653 Support occupations in cleaning and related services,"535,670","483,205","19,200","24,500","422,595","21,800","25,880"
6531 Cleaners,"486,670","437,435","19,600","24,720","378,595","22,400","26,240"
65310 Light duty cleaners,"312,035","277,330","16,400","21,860","232,870","19,400","23,640"
65311 Specialized cleaners,"48,835","43,750","20,000","25,280","39,105","21,000","25,800"
"65312 Janitors, caretakers and heavy-duty cleaners","125,800","116,350","29,000","31,280","106,615","30,800","32,120"
6532 Service support and related occupations,"48,995","45,775","16,400","22,440","44,005","17,000","22,780"
"65320 Dry cleaning, laundry and related occupations","19,685","18,495","24,600","26,160","17,630","25,400","26,960"
65329 Other service support occupations,"29,315","27,270","12,300","19,940","26,370","12,600","20,000"
"7 Trades, transport and equipment operators and related occupations","3,526,800","3,287,460","44,400","50,960","2,975,435","47,600","53,700"
70 Middle management occupations in trades and transportation,"290,490","262,380","62,000","71,900","227,005","69,000","79,100"
700 Middle management occupations in trades and transportation,"290,490","262,380","62,000","71,900","227,005","69,000","79,100"
7001 Managers in construction and facility operation and maintenance,"243,970","218,005","59,200","69,200","184,430","66,500","77,100"
70010 Construction managers,"100,495","91,770","75,000","83,900","83,185","79,500","89,200"
70011 Home building and renovation managers,"62,535","50,885","22,400","36,160","30,420","34,000","46,200"
70012 Facility operation and maintenance managers,"80,935","75,345","64,000","73,400","70,830","66,000","76,200"
7002 Managers in transportation and postal and courier services,"46,525","44,375","76,500","85,400","42,575","78,000","87,800"
70020 Managers in transportation,"42,175","40,225","77,500","87,300","38,675","78,500","89,600"
70021 Postal and courier services managers,"4,350","4,145","62,800","67,400","3,895","65,500","69,900"
72 Technical trades and transportation officers and controllers,"1,358,055","1,288,400","55,200","60,350","1,196,495","57,600","62,700"
720 Technical trades contractors and supervisors,"211,365","197,015","67,000","71,500","176,315","71,000","75,600"
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","114,670","104,495","60,800","66,100","87,575","67,000","71,700"
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","14,405","13,810","74,000","79,200","13,390","75,000","80,500"
"72011 Contractors and supervisors, electrical trades and telecommunications occupations","24,600","22,970","78,500","81,300","21,135","82,000","84,900"
"72012 Contractors and supervisors, pipefitting trades","8,485","7,775","81,000","81,800","7,135","85,000","85,600"
"72013 Contractors and supervisors, carpentry trades","16,465","15,130","58,400","60,200","12,750","63,200","64,900"
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers","50,715","44,815","46,000","53,600","33,160","52,800","59,250"
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","96,695","92,520","73,000","77,700","88,735","74,500","79,500"
"72020 Contractors and supervisors, mechanic trades","27,340","26,145","73,500","78,900","24,785","75,500","81,200"
"72021 Contractors and supervisors, heavy equipment operator crews","45,785","43,645","80,000","85,100","41,715","82,000","87,400"
"72022 Supervisors, printing and related occupations","2,180","2,075","56,000","56,600","2,035","56,400","57,250"
"72023 Supervisors, railway transport operations","1,305","1,250","96,000","97,600","1,240","96,000","98,000"
"72024 Supervisors, motor transport and other ground transit operators","11,370","10,895","60,400","63,450","10,575","61,600","64,400"
